Type,Address,Value
W,0x1000,0
R,0x1000,1
R,0x1000,1
W,0x1000,1
R,0x1004,2
R,0x1008,3
W,0x1000,7
W,0x1004,0
R,0x1000,1
R,0x1004,2
W,0x1004,2
R,0x1004,2
R,0x100c,4
W,0x1004,10
W,0x1008,0
R,0x1008,3
R,0x1000,1
W,0x1008,3
R,0x100c,4
R,0x1008,3
W,0x1008,15
W,0x100c,0
R,0x1008,3
R,0x1004,2
W,0x100c,6
R,0x100c,4
R,0x100c,4
W,0x100c,22
